fund_type,fund_code,fund_description,department_number,department_description,appropriation_authority,appropriation_authority_description,appropriation_account,appropriation_account_description,_ordinance_amount_
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,5,SALARIES AND WAGES - ON PAYROLL,6279625
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,126,OFFICE CONVENIENCES,1200
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,130,POSTAGE,5000
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,150,PUBLICATN & REPRODT-OUT,1000
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,157,RENTAL EQUIPMENT AND SERVICES,42500
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,159,LEASE/PURCHASE EQUIPMENT,53744
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,162,REPAIR/MAINT EQUIPMENT,6984
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,166,DUES  SUBSC & MEM,22000
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,169,TECHNICAL MEETING COSTS,5286
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,181,MOBILE COMMUNICATION SERVICES,40000
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,190,TELEPHONE - NON-CENTREX BILLINGS,48000
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,196,DATA CIRCUITS,444
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,197,TELEPHONE - MAINTENANCE,3300
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,229,TRANSPORTATION AND EXPENSE ALLOWANCE,1000
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,245,REIMBURSEMENT TO TRAVELERS,25780
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,270,LOCAL TRANSPORTATION,1050
LOCAL,0100,CORPORATE FUND,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,350,STATIONERY AND OFFICE SUPPLIES,30000
LOCAL,0355,SPECIAL EVENTS / MUNICIPAL HOTEL T/F,1,OFFICE OF THE MAYOR,2005,OFFICE OF THE MAYOR,5,SALARIES AND WAGES - ON PAYROLL,382056
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,4854422
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJUSTMENTS,48760
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,820
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,138,IT MAINTENANCE,100549
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,140,PROFESSIONAL AND TECHNICAL SERVICES,131316
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINTENANCE AND LICENSING,217015
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,36235
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE/PURCHASE EQUIPMENT,21940
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,115
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,166,DUES  SUBSC & MEM,3760
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,72773
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMMUNICATION SERVICES,42233
LOCAL,0100,CORPORATE FUND,3,OIG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE - NON-CENTREX BILLINGS,22708
